Station,Address
Station 111,3300 Bayview Avenue
Station 112,5700 Bathurst Street
Station 113,700 Seneca Hill Drive
Station 114,12 Canterbury Place
Station 115,115 Parkway Forest Drive
Station 116,255 Esther Shiner Boulevard
Station 121,10 William Carson Crescent
Station 122,2545 Bayview Avenue
Station 123,143 Bond Avenue
Station 125,1109 Leslie Street
Station 131,3135 Yonge Street 
Station 132,476 Lawrence Avenue West
Station 133,1505 Lawrence Avenue West
Station 134,16 Montgomery Avenue
Station 135,325 Chaplin Crescent
Station 141,4100 Keele Street
Station 142,2753 Jane Street
Station 143,1009 Sheppard Avenue West
Station 144 (proposed),(proposed) Keele Street & Sheppard Avenue West
Station 145,20 Beffort Road
Station 146,2220 Jane Street
Station 211,900 Tapscott Road
Station 212,8500 Sheppard Ave East
Station 213,7 Lapsley Road
Station 214,745 Meadowvale Road
Station 215,5318 Lawrence Avenue East
Station 221,2575 Eglinton Avenue East
Station 222,755 Warden Avenue
Station 223,116 Dorset Road
Station 224,1313 Woodbine Avenue
Station 225,3600 Danforth Avenue
Station 226,87 Main Street
Station 227,1904 Queen Street East
Station 231,740 Markham Road
Station 232,1550 Midland Road
Station 233,59 Curlew Drive 
Station 234,40 Coronation Drive
Station 235,200 Bermondsey Road
Station 241,3325 Warden Avenue
Station 242,2733 Brimley Road
Station 243,4560 Sheppard Avenue East
Station 244,2340 Birchmount Road
Station 245,1600 Birchmount Road
Station 311,20 Balmoral Avenue
Station 312,34 Yorkville Avenue
Station 313,441 Bloor Street East
Station 314,12 Grosvenor Street
Station 315,132 Bellevue Avenue
Station 321,231 McRae Drive
Station 322,256 Cosburn Avenue
Station 323,153 Chatham Avenue
Station 324,840 Gerrard Street East
Station 325,475 Dundas Street East
Station 326,30 Knox Avenue
Station 331,33 Claremont Street
Station 332,260 Adelaide Street West
Station 333,207 Front Street East
Station 334,339 Queens Quay West
Station 335,235 Cibola Avenue (Toronto Island)
Station 341,555 Oakwood Avenue
Station 342,106 Ascot Avenue
Station 343,65 Hendrick Avenue
Station 344,240 Howland Avenue
Station 345,1285 Dufferin Street
Station 346,"90 Quebec Street, Canadian National Exhibition"
Station 411,75 Toryork Drive
Station 412,267 Humberline Drive
Station 413,1549 Albion Road
Station 415,2120 Kipling Avenue
Station 421,6 Lambton Avenue
Station 422,590 Jane Street 
Station 423,358 Keele Street
Station 424,462 Runnymede Road
Station 425,83 Deforest Road
Station 426,140 Lansdowne Avenue
Station 431,308 Prince Edward Drive
Station 432,155 The East Mall
Station 433,615 Royal York Road
Station 434,3 Lunness Avenue
Station 435,130 Eighth Street
Station 441,947 Martin Grove Road
Station 442,2015 Lawrence Avenue West
Station 443,1724 Islington Avenue
Station 444,666 Renforth Drive
Station 445,280 Burnhamthorpe Road
